Time (min),Adsorption (mg/g),PSO Residual
0.0,-1e-04,0.01197806
1.34,0.3255,0.008511946
2.68,0.4879,-0.022490732
4.01,0.5701,-0.035961505
5.35,0.6196,-0.037722833
6.69,0.6562,-0.03500767
8.03,0.6868,-0.0312531
9.36,0.7139,-0.027765833
10.7,0.7381,-0.024945498
12.04,0.7595,-0.022835508
13.38,0.7783,-0.02134909
14.72,0.7946,-0.020362802
16.05,0.8085,-0.019754786
17.39,0.8202,-0.019419825
18.73,0.83,-0.019273099
20.07,0.838,-0.01924968
21.4,0.8445,-0.0193016
22.74,0.8498,-0.019394066
24.08,0.854,-0.019502651
25.42,0.8573,-0.019610299
26.76,0.86,-0.019705227
28.09,0.862,-0.01977931
29.43,0.8637,-0.019826889
30.77,0.865,-0.019843994
32.11,0.8662,-0.01982782
33.44,0.8671,-0.01977623
34.78,0.868,-0.019687692
36.12,0.8689,-0.01956104
37.46,0.8698,-0.019395405
38.8,0.8708,-0.019190209
40.13,0.8719,-0.018945085
41.47,0.8731,-0.018659962
42.81,0.8745,-0.018334964
44.15,0.8761,-0.01797055
45.48,0.8779,-0.017567378
46.82,0.88,-0.017126476
48.16,0.8822,-0.016649086
49.5,0.8848,-0.016136767
50.84,0.8875,-0.015591418
52.17,0.8906,-0.015015228
53.51,0.8938,-0.01441064
54.85,0.8974,-0.013780413
56.19,0.9012,-0.013127475
57.53,0.9052,-0.012455131
58.86,0.9095,-0.011766866
60.2,0.914,-0.011066176
61.54,0.9188,-0.010356904
62.88,0.9237,-0.009642883
64.21,0.9289,-0.008928029
65.55,0.9343,-0.008216254
66.89,0.9398,-0.007511425
68.23,0.9455,-0.0068173273
69.57,0.9513,-0.006137578
70.9,0.9573,-0.005475621
72.24,0.9633,-0.004834675
73.58,0.9694,-0.0042176545
74.92,0.9756,-0.003627174
76.25,0.9819,-0.0030654944
77.59,0.9882,-0.0025345152
78.93,0.9944,-0.0020357547
80.27,1.0007,-0.0015703598
81.61,1.0069,-0.001139055
82.94,1.0131,-0.0007421905
84.28,1.0192,-0.00037977193
85.62,1.0252,-5.1443465e-05
86.96,1.0312,0.00024346448
88.29,1.037,0.0005059191
89.63,1.0427,0.0007371369
90.97,1.0482,0.00093852286
92.31,1.0536,0.0011117198
93.65,1.0589,0.0012584114
94.98,1.064,0.0013804645
96.32,1.0689,0.0014797959
97.66,1.0737,0.0015583024
99.0,1.0782,0.0016179126
100.33,1.0827,0.0016605577
101.67,1.0869,0.0016880437
103.01,1.091,0.0017021857
104.35,1.0949,0.001704644
105.69,1.0986,0.0016970198
107.02,1.1022,0.0016807865
108.36,1.1056,0.0016573321
109.7,1.1088,0.0016278927
111.04,1.1119,0.0015936161
112.37,1.1148,0.0015555208
113.71,1.1176,0.0015145254
115.05,1.1203,0.0014714217
116.39,1.1228,0.0014269308
117.73,1.1252,0.0013816574
119.06,1.1275,0.0013361339
120.4,1.1297,0.0012907997
121.74,1.1317,0.0012460294
123.08,1.1337,0.0012021359
124.41,1.1356,0.0011593688
125.75,1.1374,0.001117924
127.09,1.1391,0.0010779602
128.43,1.1407,0.0010395885
129.77,1.1422,0.0010028898
131.1,1.1437,0.00096791575
132.44,1.1451,0.0009346907
133.78,1.1465,0.00090322085
135.12,1.1477,0.00087349606
136.45,1.149,0.0008454902
137.79,1.1502,0.0008191633
139.13,1.1513,0.00079446763
140.47,1.1524,0.0007713539
141.81,1.1535,0.0007497568
143.14,1.1545,0.00072962034
144.48,1.1555,0.0007108733
145.82,1.1565,0.0006934544
147.16,1.1574,0.000677294
148.49,1.1583,0.0006623247
149.83,1.1592,0.0006484792
151.17,1.1601,0.00063569396
152.51,1.1609,0.00062390504
153.85,1.1618,0.0006130508
155.18,1.1626,0.0006030709
156.52,1.1634,0.00059390895
157.86,1.1642,0.0005855078
159.2,1.165,0.0005778144
160.54,1.1657,0.00057077815
161.87,1.1665,0.0005643507
163.21,1.1672,0.0005584841
164.55,1.168,0.0005531342
165.89,1.1687,0.00054825825
167.22,1.1695,0.0005438142
168.56,1.1702,0.0005397649
169.9,1.1709,0.0005360706
171.24,1.1716,0.0005326973
172.58,1.1724,0.0005296087
173.91,1.1731,0.0005267732
175.25,1.1738,0.0005241575
176.59,1.1745,0.0005217321
177.93,1.1753,0.0005194676
179.26,1.176,0.0005173329
180.6,1.1767,0.0005153044
181.94,1.1774,0.0005133529
183.28,1.1782,0.0005114524
184.62,1.1789,0.0005095763
185.95,1.1796,0.0005077006
187.29,1.1804,0.0005058036
188.63,1.1811,0.00050386105
189.97,1.1819,0.0005018464
191.3,1.1827,0.0004997402
192.64,1.1834,0.00049752113
193.98,1.1842,0.00049516285
195.32,1.185,0.000492649
196.66,1.1857,0.0004899544
197.99,1.1865,0.00048706363
199.33,1.1873,0.0004839516
200.67,1.1881,0.00048059985
202.01,1.1889,0.00047698905
203.34,1.1897,0.00047309732
204.68,1.1905,0.00046890992
206.02,1.1914,0.000464399
207.36,1.1922,0.00045956057
208.7,1.193,0.0004543634
210.03,1.1939,0.0004487926
211.37,1.1947,0.0004428358
212.71,1.1956,0.0004364689
214.05,1.1965,0.00042967507
215.38,1.1973,0.00042244353
216.72,1.1982,0.00041474702
218.06,1.1991,0.0004065786
219.4,1.2,0.00039792072
220.74,1.2009,0.00038875695
222.07,1.2018,0.0003790624
223.41,1.2027,0.00036883552
224.75,1.2037,0.000358057
226.09,1.2046,0.00034671524
227.42,1.2055,0.00033479044
228.76,1.2065,0.00032227617
230.1,1.2074,0.0003091488
231.44,1.2084,0.00029540778
232.78,1.2094,0.00028103357
234.11,1.2103,0.00026601378
235.45,1.2113,0.00025034382
236.79,1.2123,0.00023400498
238.13,1.2133,0.00021699758
239.46,1.2143,0.00019930111
240.8,1.2153,0.0001809132
242.14,1.2163,0.00016182114
243.48,1.2173,0.00014201214
244.82,1.2184,0.00012148626
246.15,1.2194,0.00010023831
247.49,1.2204,7.825566e-05
248.83,1.2215,5.553366e-05
250.17,1.2225,3.206049e-05
251.51,1.2235,7.844588e-06
252.84,1.2246,-1.713651e-05
254.18,1.2257,-4.2863714e-05
255.52,1.2267,-6.935949e-05
256.86,1.2278,-9.662064e-05
258.19,1.2289,-0.00012465526
259.53,1.2299,-0.0001534496
260.87,1.231,-0.0001830199
262.21,1.2321,-0.00021336274
263.55,1.2332,-0.00024447608
264.88,1.2343,-0.00027635728
266.22,1.2353,-0.00030901103
267.56,1.2364,-0.00034244353
268.9,1.2375,-0.00037663826
270.23,1.2386,-0.0004115944
271.57,1.2397,-0.00044731708
272.91,1.2408,-0.00048380723
274.25,1.2419,-0.00052105216
275.59,1.243,-0.00055904145
276.92,1.2441,-0.0005977755
278.26,1.2453,-0.0006372659
279.6,1.2464,-0.000677486
280.94,1.2475,-0.00071843417
282.27,1.2486,-0.00076011213
283.61,1.2497,-0.00080250844
284.95,1.2508,-0.0008456178
286.29,1.2519,-0.0008894241
287.63,1.253,-0.00093393656
288.96,1.2541,-0.0009791292
290.3,1.2553,-0.0010250062
291.64,1.2564,-0.0010715495
292.98,1.2575,-0.0011187615
294.31,1.2586,-0.0011666251
295.65,1.2597,-0.001215133
296.99,1.2608,-0.0012642697
298.33,1.2619,-0.001314038
299.67,1.263,-0.001364413
301.0,1.2641,-0.0014153952
302.34,1.2652,-0.0014669641
303.68,1.2663,-0.0015191266
305.02,1.2674,-0.0015718509
306.35,1.2685,-0.001625136
307.69,1.2696,-0.0016789663
309.03,1.2707,-0.001733348
310.37,1.2718,-0.0017882463
311.71,1.2729,-0.001843655
313.04,1.274,-0.0018995692
314.38,1.2751,-0.0019559814
315.72,1.2761,-0.0020128558
317.06,1.2772,-0.0020702048
318.39,1.2783,-0.0021280148
319.73,1.2794,-0.0021862667
321.07,1.2804,-0.0022449545
322.41,1.2815,-0.002304051
323.75,1.2826,-0.0023635575
325.08,1.2836,-0.0024234646
326.42,1.2847,-0.0024837528
327.76,1.2857,-0.0025444166
329.1,1.2868,-0.0026054387
330.43,1.2878,-0.0026668068
331.77,1.2889,-0.0027285204
333.11,1.2899,-0.0027905577
334.45,1.2909,-0.002852897
335.79,1.292,-0.0029155451
337.12,1.293,-0.0029784872
338.46,1.294,-0.0030417005
339.8,1.295,-0.0031051922
341.14,1.296,-0.0031689403
342.47,1.297,-0.0032329222
343.81,1.298,-0.0032971515
345.15,1.299,-0.003361614
346.49,1.3,-0.0034262792
347.83,1.301,-0.0034911456
349.16,1.302,-0.0035562064
350.5,1.303,-0.0036214693
351.84,1.304,-0.0036868951
353.18,1.3049,-0.003752477
354.52,1.3059,-0.0038182067
355.85,1.3069,-0.0038840994
357.19,1.3078,-0.0039501153
358.53,1.3088,-0.004016248
359.87,1.3097,-0.0040825056
361.2,1.3107,-0.004148856
362.54,1.3116,-0.004215348
363.88,1.3125,-0.0042818855
365.22,1.3135,-0.0043485253
366.56,1.3144,-0.004415228
367.89,1.3153,-0.0044820025
369.23,1.3162,-0.004548815
370.57,1.3171,-0.004615686
371.91,1.318,-0.004682606
373.24,1.3189,-0.00474956
374.58,1.3198,-0.004816524
375.92,1.3207,-0.0048835175
377.26,1.3216,-0.0049505224
378.6,1.3225,-0.005017535
379.93,1.3234,-0.0050845286
381.27,1.3242,-0.0051515223
382.61,1.3251,-0.0052185026
383.95,1.3259,-0.0052854707
385.28,1.3268,-0.0053523933
386.62,1.3277,-0.005419282
387.96,1.3285,-0.00548612
389.3,1.3293,-0.005552938
390.64,1.3302,-0.005619693
391.97,1.331,-0.0056864168
393.31,1.3318,-0.005753038
394.65,1.3326,-0.005819613
395.99,1.3335,-0.005886102
397.32,1.3343,-0.005952516
398.66,1.3351,-0.006018848
400.0,1.3359,-0.0060851034
